Chr	Pos_start	Pos_end	Coverage	Methylation	Strand
bctg00000000_np1212	  19963	  19964	4	0.5	-
bctg00000000_np1212	  20095	  20096	4	0.75	-
bctg00000000_np1212	  20115	  20116	2	1	-
bctg00000000_np1212	  20178	  20179	2	1	-
bctg00000000_np1212	  20262	  20263	3	1	-
bctg00000000_np1212	  21295	  21296	3	1	-
bctg00000000_np1212	  22498	  22499	1	1	+
bctg00000000_np1212	  22500	  22501	2	0.5	-
bctg00000000_np1212	  22856	  22857	1	1	+
bctg00000000_np1212	  22858	  22859	1	1	-
bctg00000000_np1212	  23154	  23155	1	1	+
bctg00000000_np1212	  23156	  23157	1	1	-
bctg00000000_np1212	  23203	  23204	1	1	+
bctg00000000_np1212	  23205	  23206	1	1	-
bctg00000000_np1212	  23497	  23498	1	1	-
bctg00000000_np1212	  23530	  23531	1	1	+
bctg00000000_np1212	  23532	  23533	1	1	-
bctg00000000_np1212	  23655	  23656	1	1	+
bctg00000000_np1212	  24246	  24247	1	1	+
bctg00000000_np1212	  24248	  24249	1	1	-
bctg00000000_np1212	  24428	  24429	1	1	+
bctg00000000_np1212	  24438	  24439	1	1	+
bctg00000000_np1212	  24440	  24441	1	1	-
bctg00000000_np1212	  24533	  24534	1	1	+
bctg00000000_np1212	  24535	  24536	1	1	-
bctg00000000_np1212	  24604	  24605	1	1	+
bctg00000000_np1212	  24606	  24607	1	1	-
bctg00000000_np1212	  24828	  24829	1	1	+
bctg00000000_np1212	  24830	  24831	1	0	-
bctg00000000_np1212	  25615	  25616	1	0	+
bctg00000000_np1212	  26455	  26456	1	1	+
bctg00000000_np1212	  26457	  26458	1	1	-
bctg00000000_np1212	  26593	  26594	1	1	+
bctg00000000_np1212	  26595	  26596	1	1	-
bctg00000000_np1212	  26731	  26732	1	1	+
bctg00000000_np1212	  27079	  27080	1	1	+
bctg00000000_np1212	  27081	  27082	2	0.5	-
bctg00000000_np1212	  27746	  27747	3	1	-
bctg00000000_np1212	  28470	  28471	1	1	+
bctg00000000_np1212	  28472	  28473	3	1	-
bctg00000000_np1212	  28717	  28718	3	0.6667	-
bctg00000000_np1212	  28837	  28838	1	1	+
bctg00000000_np1212	  28839	  28840	2	1	-
bctg00000000_np1212	  28978	  28979	1	1	+
bctg00000000_np1212	  28980	  28981	1	1	-
bctg00000000_np1212	  30198	  30199	3	1	+
bctg00000000_np1212	  30200	  30201	1	1	-
bctg00000000_np1212	  31063	  31064	3	1	+
bctg00000000_np1212	  31065	  31066	1	1	-
bctg00000000_np1212	  31296	  31297	2	1	+
bctg00000000_np1212	  31298	  31299	1	1	-
bctg00000000_np1212	  32220	  32221	1	1	+
bctg00000000_np1212	  32222	  32223	1	1	-
bctg00000000_np1212	  32307	  32308	1	1	+
bctg00000000_np1212	  32771	  32772	1	1	+
bctg00000000_np1212	  32773	  32774	1	1	-
bctg00000000_np1212	  32841	  32842	1	1	+
bctg00000000_np1212	  33173	  33174	1	1	+
bctg00000000_np1212	  33175	  33176	1	1	-
bctg00000000_np1212	  33373	  33374	1	1	+
bctg00000000_np1212	  33645	  33646	1	1	+
bctg00000000_np1212	  33647	  33648	1	1	-
bctg00000000_np1212	  33774	  33775	1	1	+
bctg00000000_np1212	  33776	  33777	1	1	-
bctg00000000_np1212	  34686	  34687	1	1	+
bctg00000000_np1212	  34688	  34689	1	1	-
bctg00000000_np1212	  34729	  34730	1	1	+
bctg00000000_np1212	  34731	  34732	2	1	-
bctg00000000_np1212	  34770	  34771	1	1	+
bctg00000000_np1212	  34772	  34773	2	1	-
bctg00000000_np1212	  34788	  34789	1	1	+
bctg00000000_np1212	  34790	  34791	2	1	-
bctg00000000_np1212	  34827	  34828	1	1	+
bctg00000000_np1212	  34829	  34830	2	1	-
bctg00000000_np1212	  36187	  36188	1	0	-
bctg00000000_np1212	  36197	  36198	1	1	+
bctg00000000_np1212	  36199	  36200	1	1	-
bctg00000000_np1212	  37096	  37097	1	1	+
bctg00000000_np1212	  37922	  37923	1	1	+
bctg00000000_np1212	  37924	  37925	1	1	-
bctg00000000_np1212	  37932	  37933	1	1	+
bctg00000000_np1212	  38161	  38162	1	1	+
bctg00000000_np1212	  38163	  38164	1	1	-
bctg00000000_np1212	  38919	  38920	1	1	+
bctg00000000_np1212	  38921	  38922	2	1	-
bctg00000000_np1212	  40283	  40284	1	1	+
bctg00000000_np1212	  40285	  40286	1	0	-
bctg00000000_np1212	  41132	  41133	1	1	+
bctg00000000_np1212	  41327	  41328	1	1	+
bctg00000000_np1212	  41750	  41751	1	1	+
bctg00000000_np1212	  42712	  42713	1	1	+
bctg00000000_np1212	  42714	  42715	1	1	-
bctg00000000_np1212	  43757	  43758	2	1	+
bctg00000000_np1212	  43759	  43760	1	0	-
bctg00000000_np1212	  44448	  44449	2	1	+
bctg00000000_np1212	  44450	  44451	1	1	-
bctg00000000_np1212	  45181	  45182	3	1	+
bctg00000000_np1212	  45183	  45184	1	1	-
bctg00000000_np1212	  45364	  45365	3	1	+
bctg00000000_np1212	  45366	  45367	1	1	-
bctg00000000_np1212	  45466	  45467	2	1	+
bctg00000000_np1212	  45468	  45469	1	1	-
bctg00000000_np1212	  45909	  45910	2	1	+
bctg00000000_np1212	  45911	  45912	2	1	-
bctg00000000_np1212	  45969	  45970	3	1	+
bctg00000000_np1212	  47184	  47185	2	1	+
bctg00000000_np1212	  47186	  47187	1	0	-
bctg00000000_np1212	  47584	  47585	1	1	+
bctg00000000_np1212	  47586	  47587	2	1	-
bctg00000000_np1212	  48547	  48548	1	1	+
bctg00000000_np1212	  48549	  48550	1	1	-
bctg00000000_np1212	  48925	  48926	2	1	+
bctg00000000_np1212	  48954	  48955	2	0.5	-
bctg00000000_np1212	  49010	  49011	1	1	+
bctg00000000_np1212	  49012	  49013	1	1	-
bctg00000000_np1212	  49179	  49180	1	1	+
bctg00000000_np1212	  49181	  49182	2	0.5	-
bctg00000000_np1212	  50303	  50304	2	1	+
bctg00000000_np1212	  50305	  50306	3	1	-
bctg00000000_np1212	  50366	  50367	2	1	+
bctg00000000_np1212	  50368	  50369	3	0.6667	-
bctg00000000_np1212	  50959	  50960	2	1	+
bctg00000000_np1212	  50961	  50962	2	1	-
bctg00000000_np1212	  52464	  52465	2	0.5	-
bctg00000000_np1212	  52487	  52488	1	1	-
bctg00000000_np1212	  53221	  53222	1	1	+
bctg00000000_np1212	  53223	  53224	2	1	-
bctg00000000_np1212	  54293	  54294	2	1	+
bctg00000000_np1212	  55941	  55942	1	1	+
bctg00000000_np1212	  55965	  55966	1	1	+
bctg00000000_np1212	  56320	  56321	1	1	+
bctg00000000_np1212	  56706	  56707	1	1	+
bctg00000000_np1212	  56708	  56709	1	0	-
bctg00000000_np1212	  57357	  57358	1	0	-
bctg00000000_np1212	  57383	  57384	1	1	+
bctg00000000_np1212	  57716	  57717	1	1	+
bctg00000000_np1212	  57718	  57719	1	0	-
bctg00000000_np1212	  58050	  58051	1	1	+
bctg00000000_np1212	  59639	  59640	1	1	-
bctg00000000_np1212	  60333	  60334	1	1	+
bctg00000000_np1212	  60335	  60336	1	1	-
bctg00000000_np1212	  60645	  60646	1	1	+
bctg00000000_np1212	  60647	  60648	1	1	-
bctg00000000_np1212	  60798	  60799	1	1	+
bctg00000000_np1212	  60800	  60801	1	1	-
bctg00000000_np1212	  60819	  60820	1	1	+
bctg00000000_np1212	  60821	  60822	1	1	-
bctg00000000_np1212	  60846	  60847	1	1	+
bctg00000000_np1212	  60848	  60849	1	1	-
bctg00000000_np1212	  61847	  61848	1	1	+
bctg00000000_np1212	  61956	  61957	1	1	+
bctg00000000_np1212	  62665	  62666	2	1	+
bctg00000000_np1212	  62667	  62668	1	1	-
bctg00000000_np1212	  63110	  63111	2	1	+
bctg00000000_np1212	  63142	  63143	2	1	+
bctg00000000_np1212	  63144	  63145	1	1	-
bctg00000000_np1212	  63564	  63565	2	1	+
bctg00000000_np1212	  63730	  63731	2	1	+
bctg00000000_np1212	  64309	  64310	1	1	+
bctg00000000_np1212	  64343	  64344	1	1	+
bctg00000000_np1212	  64430	  64431	2	1	+
bctg00000000_np1212	  64800	  64801	1	1	+
bctg00000000_np1212	  64932	  64933	1	1	+
bctg00000000_np1212	  65450	  65451	1	1	+
bctg00000000_np1212	  65976	  65977	2	1	+
bctg00000000_np1212	  66090	  66091	2	1	+
bctg00000000_np1212	  66882	  66883	2	1	+
bctg00000000_np1212	  67039	  67040	1	1	+
bctg00000000_np1212	  68008	  68009	1	1	+
bctg00000000_np1212	  68356	  68357	1	1	+
bctg00000000_np1212	  68980	  68981	1	1	-
bctg00000000_np1212	  69523	  69524	1	1	-
bctg00000000_np1212	  69732	  69733	1	1	-
bctg00000000_np1212	  70359	  70360	1	0	+
bctg00000000_np1212	  70361	  70362	1	1	-
bctg00000000_np1212	  71676	  71677	1	1	+
bctg00000000_np1212	  71678	  71679	1	1	-
bctg00000000_np1212	  71878	  71879	1	1	+
bctg00000000_np1212	  71880	  71881	1	1	-
bctg00000000_np1212	  73047	  73048	1	1	+
bctg00000000_np1212	  73049	  73050	1	1	-
bctg00000000_np1212	  73304	  73305	1	1	+
bctg00000000_np1212	  73306	  73307	1	1	-
bctg00000000_np1212	  73505	  73506	1	1	-
bctg00000000_np1212	  73551	  73552	1	0	-
bctg00000000_np1212	  73810	  73811	1	1	-
bctg00000000_np1212	  74311	  74312	1	1	-
bctg00000000_np1212	  74423	  74424	1	1	-
bctg00000000_np1212	  74913	  74914	1	0	+
bctg00000000_np1212	  74915	  74916	1	0	-
bctg00000000_np1212	  75548	  75549	2	1	+
bctg00000000_np1212	  75550	  75551	1	1	-
bctg00000000_np1212	  75679	  75680	1	1	+
bctg00000000_np1212	  75681	  75682	1	1	-
bctg00000000_np1212	  75895	  75896	1	1	+
bctg00000000_np1212	  76828	  76829	2	1	+
bctg00000000_np1212	  76830	  76831	1	1	-
bctg00000000_np1212	  77755	  77756	1	1	-
bctg00000000_np1212	  77900	  77901	1	1	+
bctg00000000_np1212	  77902	  77903	2	1	-
bctg00000000_np1212	  77925	  77926	1	1	+
bctg00000000_np1212	  77927	  77928	2	1	-
bctg00000000_np1212	  78031	  78032	1	1	+
bctg00000000_np1212	  78033	  78034	2	1	-
bctg00000000_np1212	  78939	  78940	1	1	+
bctg00000000_np1212	  78941	  78942	2	1	-
bctg00000000_np1212	  79052	  79053	1	1	+
bctg00000000_np1212	  79054	  79055	2	1	-
bctg00000000_np1212	  80328	  80329	3	1	+
bctg00000000_np1212	  80330	  80331	3	0.6667	-
bctg00000000_np1212	  80632	  80633	3	1	+
bctg00000000_np1212	  80634	  80635	3	1	-
bctg00000000_np1212	  80770	  80771	3	0.6667	+
bctg00000000_np1212	  80772	  80773	3	1	-
bctg00000000_np1212	  81484	  81485	3	1	+
bctg00000000_np1212	  81486	  81487	2	1	-
bctg00000000_np1212	  81937	  81938	2	1	+
bctg00000000_np1212	  81939	  81940	2	1	-
bctg00000000_np1212	  83109	  83110	2	1	+
bctg00000000_np1212	  83111	  83112	2	0.5	-
bctg00000000_np1212	  83969	  83970	1	1	+
bctg00000000_np1212	  83971	  83972	3	1	-
bctg00000000_np1212	  85758	  85759	1	1	+
bctg00000000_np1212	  85760	  85761	1	0	-
bctg00000000_np1212	  85867	  85868	2	1	+
bctg00000000_np1212	  85869	  85870	1	1	-
bctg00000000_np1212	  86929	  86930	1	1	+
bctg00000000_np1212	  86931	  86932	1	1	-
bctg00000000_np1212	  88674	  88675	1	1	+
bctg00000000_np1212	  88676	  88677	1	1	-
bctg00000000_np1212	  89394	  89395	1	1	+
bctg00000000_np1212	  89396	  89397	1	1	-
bctg00000000_np1212	  90288	  90289	1	1	-
bctg00000000_np1212	  90973	  90974	1	1	+
bctg00000000_np1212	  93202	  93203	1	1	-
bctg00000000_np1212	  93263	  93264	1	1	-
bctg00000000_np1212	  93327	  93328	1	1	-
bctg00000000_np1212	  93668	  93669	2	0.5	-
bctg00000000_np1212	  94529	  94530	1	1	-
bctg00000000_np1212	  94643	  94644	1	1	-
bctg00000000_np1212	  95085	  95086	1	1	-
bctg00000000_np1212	  96018	  96019	2	1	-
bctg00000000_np1212	  96108	  96109	2	1	-
bctg00000000_np1212	  96438	  96439	2	1	-
bctg00000000_np1212	  96609	  96610	1	1	-
bctg00000000_np1212	  96804	  96805	1	1	-
bctg00000000_np1212	  96829	  96830	2	1	-
bctg00000000_np1212	  97455	  97456	2	1	-
bctg00000000_np1212	  97924	  97925	2	1	-
bctg00000000_np1212	  98743	  98744	2	1	-
bctg00000000_np1212	  98910	  98911	2	0.5	-
bctg00000000_np1212	 100061	 100062	1	1	-
bctg00000000_np1212	 100324	 100325	1	1	+
bctg00000000_np1212	 100326	 100327	1	1	-
bctg00000000_np1212	 100502	 100503	1	1	+
bctg00000000_np1212	 100504	 100505	2	1	-
bctg00000000_np1212	 101159	 101160	2	1	-
bctg00000000_np1212	 103559	 103560	1	1	-
bctg00000000_np1212	 103662	 103663	1	1	-
bctg00000000_np1212	 103838	 103839	1	1	-
bctg00000000_np1212	 106764	 106765	1	0	-
bctg00000000_np1212	 106841	 106842	1	1	-
bctg00000000_np1212	 107340	 107341	3	1	-
bctg00000000_np1212	 107676	 107677	2	1	-
bctg00000000_np1212	 108240	 108241	2	1	-
bctg00000000_np1212	 108259	 108260	2	1	-
bctg00000000_np1212	 108450	 108451	2	1	-
bctg00000000_np1212	 110716	 110717	1	1	+
bctg00000000_np1212	 111259	 111260	1	1	+
bctg00000000_np1212	 111273	 111274	1	1	+
bctg00000000_np1212	 112732	 112733	1	1	+
bctg00000000_np1212	 112734	 112735	1	1	-
bctg00000000_np1212	 112902	 112903	1	1	-
bctg00000000_np1212	 113244	 113245	1	1	-
bctg00000000_np1212	 113795	 113796	1	1	+
bctg00000000_np1212	 113797	 113798	1	1	-
bctg00000000_np1212	 114019	 114020	1	1	+
bctg00000000_np1212	 114021	 114022	1	1	-
bctg00000000_np1212	 114069	 114070	1	1	+
bctg00000000_np1212	 114071	 114072	1	1	-
bctg00000000_np1212	 114716	 114717	1	1	+
bctg00000000_np1212	 114718	 114719	1	0	-
bctg00000000_np1212	 114914	 114915	1	1	+
bctg00000000_np1212	 114974	 114975	1	1	+
bctg00000000_np1212	 114976	 114977	1	1	-
bctg00000000_np1212	 115010	 115011	1	1	+
bctg00000000_np1212	 115236	 115237	2	1	+
bctg00000000_np1212	 115238	 115239	1	1	-
bctg00000000_np1212	 115539	 115540	2	1	+
bctg00000000_np1212	 115541	 115542	1	1	-
bctg00000000_np1212	 115631	 115632	2	1	+
bctg00000000_np1212	 115633	 115634	1	1	-
bctg00000000_np1212	 117135	 117136	1	1	+
bctg00000000_np1212	 117485	 117486	1	1	+
bctg00000000_np1212	 117487	 117488	1	1	-
bctg00000000_np1212	 117501	 117502	1	1	+
bctg00000000_np1212	 117503	 117504	1	1	-
bctg00000000_np1212	 117660	 117661	1	1	+
bctg00000000_np1212	 117745	 117746	1	1	+
bctg00000000_np1212	 117902	 117903	1	1	+
bctg00000000_np1212	 118083	 118084	1	1	+
bctg00000000_np1212	 118085	 118086	1	1	-
bctg00000000_np1212	 118819	 118820	1	0	-
bctg00000000_np1212	 118962	 118963	1	1	-
bctg00000000_np1212	 119584	 119585	1	1	-
bctg00000000_np1212	 120196	 120197	3	1	-
bctg00000000_np1212	 120316	 120317	3	1	-
bctg00000000_np1212	 120657	 120658	1	1	-
bctg00000000_np1212	 120711	 120712	2	1	-
bctg00000000_np1212	 121560	 121561	1	1	+
bctg00000000_np1212	 121562	 121563	2	1	-
bctg00000000_np1212	 121611	 121612	1	1	+
bctg00000000_np1212	 121613	 121614	1	1	-
bctg00000000_np1212	 122099	 122100	1	1	+
bctg00000000_np1212	 122101	 122102	1	1	-
bctg00000000_np1212	 122941	 122942	1	1	+
bctg00000000_np1212	 122943	 122944	3	1	-
bctg00000000_np1212	 123148	 123149	1	1	+
bctg00000000_np1212	 123150	 123151	3	1	-
bctg00000000_np1212	 123948	 123949	1	1	+
bctg00000000_np1212	 123950	 123951	1	1	-
bctg00000000_np1212	 123972	 123973	1	0	+
bctg00000000_np1212	 123974	 123975	2	1	-
bctg00000000_np1212	 124098	 124099	1	1	+
bctg00000000_np1212	 124100	 124101	1	1	-
bctg00000000_np1212	 124257	 124258	1	1	+
bctg00000000_np1212	 124259	 124260	2	1	-
bctg00000000_np1212	 124785	 124786	1	1	-
bctg00000000_np1212	 124800	 124801	1	1	-
bctg00000000_np1212	 124976	 124977	1	1	-
bctg00000000_np1212	 125320	 125321	1	1	-
bctg00000000_np1212	 125335	 125336	1	1	-
bctg00000000_np1212	 125511	 125512	1	1	-
bctg00000000_np1212	 125855	 125856	1	1	-
bctg00000000_np1212	 125870	 125871	1	1	-
bctg00000000_np1212	 129661	 129662	1	1	-
bctg00000000_np1212	 130446	 130447	1	1	-
bctg00000000_np1212	 130856	 130857	1	1	-
bctg00000000_np1212	 131580	 131581	2	1	-
bctg00000000_np1212	 131715	 131716	2	1	-
bctg00000000_np1212	 131807	 131808	2	1	-
bctg00000000_np1212	 131860	 131861	2	1	-
bctg00000000_np1212	 133150	 133151	1	1	+
bctg00000000_np1212	 133152	 133153	1	1	-
bctg00000000_np1212	 134118	 134119	1	1	+
bctg00000000_np1212	 134120	 134121	1	1	-
bctg00000000_np1212	 134168	 134169	1	1	+
bctg00000000_np1212	 134879	 134880	1	1	+
bctg00000000_np1212	 134881	 134882	2	1	-
bctg00000000_np1212	 134990	 134991	1	1	+
bctg00000000_np1212	 134992	 134993	1	1	-
bctg00000000_np1212	 135440	 135441	1	1	+
bctg00000000_np1212	 135442	 135443	1	1	-
bctg00000000_np1212	 135639	 135640	2	1	-
bctg00000000_np1212	 135727	 135728	1	1	+
bctg00000000_np1212	 135729	 135730	2	1	-
bctg00000000_np1212	 135913	 135914	1	1	+
bctg00000000_np1212	 135915	 135916	1	1	-
bctg00000000_np1212	 136120	 136121	1	1	+
bctg00000000_np1212	 136183	 136184	1	1	+
bctg00000000_np1212	 136185	 136186	1	0	-
bctg00000000_np1212	 136526	 136527	1	1	+
bctg00000000_np1212	 136528	 136529	1	1	-
bctg00000000_np1212	 136697	 136698	1	1	+
bctg00000000_np1212	 136699	 136700	1	1	-
bctg00000000_np1212	 136947	 136948	1	1	-
bctg00000000_np1212	 138065	 138066	1	1	-
bctg00000000_np1212	 138183	 138184	1	1	-
bctg00000000_np1212	 138465	 138466	1	1	-
bctg00000000_np1212	 138676	 138677	2	1	-
bctg00000000_np1212	 138947	 138948	2	1	-
bctg00000000_np1212	 139150	 139151	2	1	-
bctg00000000_np1212	 139317	 139318	3	0.3333	-
bctg00000000_np1212	 139344	 139345	3	1	-
bctg00000000_np1212	 139611	 139612	2	0.5	-
bctg00000000_np1212	 139809	 139810	3	1	-
bctg00000000_np1212	 140484	 140485	2	1	-
bctg00000000_np1212	 140879	 140880	3	1	-
bctg00000000_np1212	 140969	 140970	3	0.3333	-
bctg00000000_np1212	 141065	 141066	2	1	-
bctg00000000_np1212	 141516	 141517	3	1	-
bctg00000000_np1212	 141562	 141563	1	1	-
bctg00000000_np1212	 141651	 141652	3	1	-
bctg00000000_np1212	 141976	 141977	3	1	-
bctg00000000_np1212	 142894	 142895	1	1	-
bctg00000000_np1212	 144539	 144540	1	1	+
bctg00000000_np1212	 144708	 144709	1	1	+
bctg00000000_np1212	 145039	 145040	1	1	+
bctg00000000_np1212	 145227	 145228	1	1	+
bctg00000000_np1212	 145526	 145527	1	1	+
bctg00000000_np1212	 146361	 146362	1	0	+
bctg00000000_np1212	 146759	 146760	1	1	+
bctg00000000_np1212	 147008	 147009	1	1	+
bctg00000000_np1212	 147080	 147081	1	1	+
bctg00000000_np1212	 147363	 147364	1	1	+
bctg00000000_np1212	 147474	 147475	2	1	+
bctg00000000_np1212	 147896	 147897	1	1	+
bctg00000000_np1212	 148161	 148162	1	1	+
bctg00000000_np1212	 148562	 148563	1	1	+
bctg00000000_np1212	 148850	 148851	1	1	+
bctg00000000_np1212	 149169	 149170	1	1	+
bctg00000000_np1212	 150136	 150137	3	0.6667	+
bctg00000000_np1212	 150374	 150375	1	1	+
bctg00000000_np1212	 150613	 150614	2	1	+
bctg00000000_np1212	 151208	 151209	2	1	+
bctg00000000_np1212	 151529	 151530	2	1	+
bctg00000000_np1212	 151772	 151773	2	1	+
bctg00000000_np1212	 152561	 152562	1	1	+
bctg00000000_np1212	 155797	 155798	3	1	+
bctg00000000_np1212	 155813	 155814	3	1	+
bctg00000000_np1212	 156169	 156170	3	1	+
bctg00000000_np1212	 156282	 156283	3	1	+
bctg00000000_np1212	 156633	 156634	3	1	+
bctg00000000_np1212	 156807	 156808	1	1	+
bctg00000000_np1212	 156840	 156841	3	1	+
bctg00000000_np1212	 158104	 158105	3	1	+
bctg00000000_np1212	 158361	 158362	1	1	+
bctg00000000_np1212	 158723	 158724	2	0.5	+
bctg00000000_np1212	 158925	 158926	2	0.5	+
bctg00000000_np1212	 160086	 160087	3	1	+
bctg00000000_np1212	 160088	 160089	1	1	-
bctg00000000_np1212	 160374	 160375	2	1	+
bctg00000000_np1212	 160376	 160377	1	1	-
bctg00000000_np1212	 160450	 160451	3	1	+
bctg00000000_np1212	 160452	 160453	1	1	-
bctg00000000_np1212	 160540	 160541	3	0.6667	+
bctg00000000_np1212	 160542	 160543	1	0	-
bctg00000000_np1212	 160801	 160802	4	0.75	+
bctg00000000_np1212	 160803	 160804	1	1	-
bctg00000000_np1212	 160911	 160912	3	1	+
bctg00000000_np1212	 160913	 160914	1	1	-
bctg00000000_np1212	 161706	 161707	2	1	+
bctg00000000_np1212	 161708	 161709	1	1	-
bctg00000000_np1212	 162039	 162040	2	1	+
bctg00000000_np1212	 162041	 162042	1	1	-
bctg00000000_np1212	 162531	 162532	3	1	+
bctg00000000_np1212	 162892	 162893	2	1	+
bctg00000000_np1212	 164309	 164310	2	1	+
bctg00000000_np1212	 165010	 165011	1	1	+
bctg00000000_np1212	 165077	 165078	1	1	+
bctg00000000_np1212	 165422	 165423	1	1	+
bctg00000000_np1212	 165483	 165484	1	1	+
bctg00000000_np1212	 166112	 166113	1	1	+
bctg00000000_np1212	 169716	 169717	1	1	+
bctg00000000_np1212	 171165	 171166	2	1	+
bctg00000000_np1212	 171716	 171717	2	1	+
bctg00000000_np1212	 172009	 172010	2	0.5	+
bctg00000000_np1212	 172511	 172512	2	1	+
bctg00000000_np1212	 173005	 173006	1	1	+
bctg00000000_np1212	 173761	 173762	1	1	+
bctg00000000_np1212	 173763	 173764	1	1	-
bctg00000000_np1212	 174381	 174382	1	1	-
bctg00000000_np1212	 175186	 175187	1	1	-
bctg00000000_np1212	 175583	 175584	1	1	-
bctg00000000_np1212	 175620	 175621	1	1	-
bctg00000000_np1212	 177101	 177102	1	1	-
bctg00000000_np1212	 177704	 177705	1	1	-
bctg00000000_np1212	 177957	 177958	2	1	-
bctg00000000_np1212	 178519	 178520	2	1	-
bctg00000000_np1212	 178907	 178908	1	1	-
bctg00000000_np1212	 179418	 179419	2	1	-
bctg00000000_np1212	 179884	 179885	2	1	-
bctg00000000_np1212	 181075	 181076	3	1	-
bctg00000000_np1212	 181190	 181191	1	1	-
bctg00000000_np1212	 181355	 181356	2	1	-
bctg00000000_np1212	 182447	 182448	2	1	-
bctg00000000_np1212	 182519	 182520	2	1	-
bctg00000000_np1212	 182650	 182651	2	1	-
bctg00000000_np1212	 182656	 182657	2	1	-
bctg00000000_np1212	 182735	 182736	2	1	-
bctg00000000_np1212	 182897	 182898	2	1	-
bctg00000000_np1212	 183081	 183082	2	1	-
bctg00000000_np1212	 183432	 183433	2	1	-
bctg00000000_np1212	 183570	 183571	1	1	+
bctg00000000_np1212	 183572	 183573	2	1	-
bctg00000000_np1212	 184127	 184128	1	1	+
bctg00000000_np1212	 184129	 184130	2	1	-
bctg00000000_np1212	 184564	 184565	1	1	+
bctg00000000_np1212	 184566	 184567	2	1	-
bctg00000000_np1212	 184821	 184822	1	1	+
bctg00000000_np1212	 184823	 184824	3	1	-
bctg00000000_np1212	 185068	 185069	1	1	+
bctg00000000_np1212	 185070	 185071	2	1	-
bctg00000000_np1212	 185386	 185387	1	1	-
bctg00000000_np1212	 185672	 185673	1	1	+
bctg00000000_np1212	 185674	 185675	2	1	-
bctg00000000_np1212	 185857	 185858	1	1	+
bctg00000000_np1212	 185859	 185860	1	1	-
bctg00000000_np1212	 186021	 186022	2	1	-
bctg00000000_np1212	 186251	 186252	1	1	+
bctg00000000_np1212	 186253	 186254	2	1	-
bctg00000000_np1212	 187066	 187067	2	0.5	+
bctg00000000_np1212	 187068	 187069	1	1	-
bctg00000000_np1212	 187318	 187319	1	1	+
bctg00000000_np1212	 187320	 187321	2	1	-
bctg00000000_np1212	 187753	 187754	1	1	+
bctg00000000_np1212	 187755	 187756	1	1	-
bctg00000000_np1212	 188168	 188169	2	1	+
bctg00000000_np1212	 188170	 188171	1	1	-
bctg00000000_np1212	 188483	 188484	1	1	+
bctg00000000_np1212	 188526	 188527	1	1	+
bctg00000000_np1212	 188528	 188529	2	0.5	-
bctg00000000_np1212	 188601	 188602	1	1	+
bctg00000000_np1212	 188603	 188604	2	1	-
bctg00000000_np1212	 189578	 189579	1	1	+
bctg00000000_np1212	 189580	 189581	1	1	-
bctg00000000_np1212	 189966	 189967	1	1	+
